year,party,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,PurityVice
1960,D,27,-4,10,0,9,0,5,0,0,0
1960,R,16,-7,3,0,1,0,9,0,0,0
1976,D,14,0,0,-5,5,-5,6,0,0,0
1976,R,16,0,2,0,3,-15,4,0,0,0
1980,D,10,0,0,0,5,0,3,0,0,0
1980,R,4,0,0,0,4,0,3,0,0,0
1984,D,12,0,14,0,18,0,25,0,0,0
1984,R,1,0,1,0,4,0,2,0,0,0
1988,D,14,0,0,0,37,0,16,0,4,0
1988,R,8,0,0,0,11,0,9,0,0,0
1992,D,15,-2,0,0,9,0,0,0,0,0
1992,R,19,-9,0,0,4,0,0,0,0,0
1996,D,21,0,0,0,15,0,3,0,0,0
1996,R,17,0,0,0,1,0,0,0,0,0
2000,D,14,-5,0,0,25,0,6,0,0,0
2000,R,29,0,0,0,27,0,11,0,0,0
2004,D,36,-30,7,0,8,-6,29,0,2,0
2004,R,41,-5,8,0,13,-11,18,0,4,0
2008,D,15,-12,5,0,4,0,2,0,0,0
2008,R,15,-12,2,0,7,0,9,0,0,0
2012,D,6,2,10,0,16,0,26,0,0,0
2012,R,5,-18,7,0,12,0,10,-3,0,0
2016,D,10,-6,9,0,30,-2,0,0,0,0
2016,R,3,-5,3,0,2,0,0,0,0,0
